Tweet_ID,Category,Tweet_Content
1866046581826330993,Technology,AI Overview Yes the Federal Trade Commission FTC found that CarShields advertisements and telemarketing were deceptive and misleading damn carshield got iceT misleading people Guess its all about that money
1865101156696899925,Technology,Holding out hope for Matthews safe return With advanced AI tools and templates we can support local search efforts and bring missing loved ones back to safety Lets unite to help find Matthew
1864836624980545745,Technology,California remains a tech powerhouse Home to Silicon Valley its innovation hubs are driving trends in AI EVs and green tech Whats the next big disruption from the Golden State
1864831806723240344,Technology,Do you think California should do a better job on detecting Tsunami to not cause panic I saw some people running out of business and screaming that a massive wave was coming While I also saw nonchalant surfers waiting to hit the waves Is there more technology that can detect is there truly is going to be a tsunami
1864805293257028064,Technology,Meta Boosts AI with Nuclear Power Meta plans to add  to  GW of nuclear power by  to support AI and decarbonization following Microsofts similar strategy
1864801063452230136,Technology,With TalusNetwork smart agents are more powerful than ever Create your own digital assistant and shape the future with this innovative platform
1864781914499915888,Technology,Science and technology saves life
1864779555266838657,Technology,What I feel that X has democratized expression empowering even the most marginalized voices in remote areas to be heard regardless of their access to technology or resources like affluent people
1864338957032374355,Technology,With natural disasters on the rise CA public safety agencies need for modern technology to protect their communities In fact  percent of CA residents believe tech can improve with emergency response Learn more now
1863846912153047163,Technology,Californias new AI legislation sets a national standard for ethics Could this redefine public services nationwide Share your thoughts
1863780261353181297,Technology,California once celebrated as a hub of education excellence innovation and progressivism is now the epicenter of a deepening crisis
1863665630349529393,Technology,States can foster AI growth by promoting more balanced and innovation friendly approaches to AI policy The ProdiJake relay how Californias approach could have significant consequences on AI development going forward
1863644331225256237,Technology,New innovation and design grant cycle open to improve and enhance California sourced carpet recycling and support Californias focus on building a circular economy
1861953156319531035,Technology,California Takes Steps to Regulate the Use of AI for Significant Employment Decisions
1859622799813353570,Technology,CALIFORNIA AI LAW HIT WITH A CONSTITUTIONAL CHALLENGE X Corp Attempts To Take Down Californias Law Regulating AI Generated Political Content
1858430762388787545,Technology,Chegg Thread topic Chegg to Lay Off Staff as AI Tools Weigh on Revenue Targets
1858217514741719419,Technology,Cardiologist Tech lnto DOGS and BABlES Comes To Meet  KlDS ARRESTED
1856948727467987278,Technology,Cisco beats earnings expectations as AI spurs networking gear demand However the Californiabased company has been trying to reduce reliance on its massive networking equipment business which has suffered in recent years from supplychain issues and a post pandemic slowdown in demand
1855992640472526993,Technology,Higher Ed Is Unprepared for AIs Rise read more here
1855742918725620205,Technology,Starlinks continued growth could position it as a key player in the broader telecommunications landscape potentially influencing how we think about internet access worldwide
1855535375965356378,Technology,Pro tip Focus on mobile optimization More people in California search on their phones than ever before Make sure your site is mobile friendly
1854642482643980381,Technology,California Limits Health Plan Use of AI in Utilization Management
1854327915003150427,Technology,From Oil to CleanEnergy California is turning old OilWells into massive solargeothermal batteries  million liters of energy could power a green future
1854232883289862597,Technology,In the face of wildfire season AI brings new hope for safer California communities Very interested to watch this tech develop When it comes to using AI to predict and respond to natural disasters what do you think will be the biggest challenge
1854228767222235265,Technology,Charter a private flight to Palo Alto a vibrant city located in Silicon Valley known as a hub for innovation and technology
1854210987064172586,Technology,Avina Clean Hydrogen breaks ground on landmark green hydrogen facility in Vernon California
1853762381739851910,Technology,California steps up against AI deepfakes in political ads fighting misinformation spread How do you see AI shaping future elections Dive in and share
1853375986416431301,Technology,California isnt dreaming anymore Its leaking CAL is losing its Tech appeal fast
1852508432743477313,Technology,Data sharing is essential for advancing healthcare in California At Long Health we believe in harnessing technology to connect providers and improve patient experiences
1852432528612962315,Technology,Fascinating Can SFs AR VR innovation scene help combat CAs brain drain Imagine training spaces that simulate life in Texas making relocation decisions more accessible for Californians Lets use tech to bridge the gap not widen it
1852143819581517893,Technology,Californias contentious AI safety bill would have sweeping effects on the industry if signed into law
1852131689763606887,Technology,Did you know that earthquake warnings are becoming more advanced This insightful article explores the latest improvements in detection technology and what you can do to prepare for the unexpected
1849061843542659246,Technology,Californias AIPowered Wildfire Detection System A Game Changer in Fire Prevention
1840538382490853667,Technology,tech companies legally liable for harms caused by AI models California Gov Newsom vetoes AI bill considered strictest in nation
1840524411541098833,Technology,Totally agree AI capabilities can be exponential
1838821464411177057,Technology,Californians will soon be able to add their drivers licenses in Apple Wallet
1838798033498112266,Technology,Transparency is Key California now requires companies to disclose when content has been created or altered by AI whether its text images or videos Labels must be clear making it easier for users to spot AI generated content
1838504240106373419,Technology,A new study using drone technology has uncovered a potentially serious environmental threat in the Arctic Researchers have discovered that
1838431938799095822,Technology,Is it a good idea to put car ownership titles on the blockchain
1836116863883112747,Technology,Using AI to Replace an Actor Is Now Against the Law in California
1828393887435801019,Technology,Potential Impact This technology could potentially address gaps in solar power availability particularly during nighttime and on cloudy or overcast days enhancing the utility of solar energy
1827043290962682240,Technology,California and BigTech have announced a deal that will fund newsrooms and the development of ArtificialIntelligence AI tools to assist journalists
1822921059114312176,Technology,Exciting news California teams up with Nvidia to introduce artificial intelligence resources in colleges Stay updated on this innovative partnership in our latest blog post
1819423453885485221,Technology,Californias DMV is at the forefront of digital innovation using the Avalanche blockchain to modernize vehicle title management This move highlights the power of tech in transforming public services for greater efficiency and security
1350008714607034372,Business,Small businesses in California have mostly been shut down for months many never to recover Its time to fully reopen California while allowing for business owners to implement their best practices for keeping their employees and patrons safe
1797720824289595709,Business,California Dreamin of Sales Success  Californias massive economy offers a thriving market for your business
1757910255550493142,Business,Feeling the Weight  Cartoon that illustrates the cohort of startups that enjoyed high valuations in the last bull cycle are now finding it hard to get acquired
1332758786008821760,Business,Today is Small Business Saturday California is home to over  million small businesses
1681087649690406912,Business,You have to see it to believe it The forthcoming maturity of  billion in commercial mortgagebacked securities CMBS within the Greater San Jose area is a topic of intense discussion
1292512991544373248,Business,California has the most business closures in the country since March  third highest per capita In just the bay area  of the closures are permanent
1404520335790247941,Business,Critics claim Californias policies are bad for business The states worldbeating economic performance says differently
1871641439274406364,Business,Large California companies will soon face new rules on how they use AI
1163412097323216897,Business,A compelling story lies within every individual every business Here is an example of digging deep to find meaning and relevance in what you do
882298566705905665,Business,Get your small business funded by the California government
1836851298324418905,Business,job cuts filed in California today  including IBM Cisco GXO  Converse
1311501148478681088,Business,Companies across Los Angeles say they have seen an  to  drop in business in the past six months as events production and meetings fall off
1659313039680872449,Business,Gavin Newsom on Disney backing out of its nearly  billion complex in Florida meaning more than  jobs will stay in California Authoritarian policies have consequences
1848570338189201520,Business,The business environment has become so bad in California that near all of the job growth is only government jobs
1231989699595710464,Business,MONEY MONDAY Veganism is within the top  highgrowth industries to watch for in  The impact meat production has on climate change being one significant factor
1509945033570488321,Business,Californias Yolo County The average house is worth  Within a year home prices increased by  percent
1317028334413307904,Business,Check how a California based Real Estate Group of Investors successfully sold their unsold property within the expected timeline
1291576565629845509,Business,For over  years NEDRAC has helped corporations big and small relocate their office supplies and teams within California and the US
1872804438999712122,Business,In the marketing strategy group what positions in marketing will you be hiring in
1872378148295242132,Business,New Another LA business to shutter Lima Restaurant on Concords Todos Santos Plaza in LA is closing shop after they were hit with a lawsuit because of they promoted ladies night out discounts
1097327462755647488,Business,companies based in California have up and left the state in just one year with the common destination being Texas
1869613860543729958,Business,Liberty Mutual exits the condo and renters insurance business in California
1778662611267023276,Business,A mob of thieves rob a jewelry store in broad daylight in Oakland California They only leave when the owner comes out with a gun Buy guns Buy ammo Protect yourself your family and your business
1632823015443447815,Business,BOOM California Gov Gavin Newsom just threw down the gauntlet on Walgreens saying the state will no longer do business with Walgreens because of their refusal to distribute abortion pills
1832817644598378517,Business,California Officials Going To Local Farmers Markets Then Showing Up At Sellers Hones To Regulate  Fine Them California loves to take up some part of your business make it illegal and then make you pay for it and its everywhere
1587090794325807104,Business,The Legislature treats businesses like they are the enemy  companies moved their headquarters from California between  and  Twice as many businesses left last year  than in  and  and three times as many as in WSJ
1872799732466368555,Business,Creating an LLC is not some secret tax strategy If you simply create an LLC for your own business youve changed absolutely nothing about your taxes  in tax savings and  fee in California
1780986902339854522,Business,California lost track of the  billion spent on homelessness California lost  billion due to pandemic unemployment fraud California has mismanaged the  billion  highspeed rail project which hasnt laid a mile of track If this were a private business they would be convicted of a crime NONE of this money is theirs Let this marinate for a minute
1819364224402882898,Business,BREAKING Chevron plans to move its headquarters from California to Texas due to excessive regulation and clashes with authorities that made California closed for business
1501369602747469832,Business,On the economy CA is unmatched  million new jobs in  months More new business starts during the worst of the pandemic than TX  FL combined But you know what makes us different As our businesses grow we dont leave our workers behind
831275461581762564,Business,Two dozen companies commit leaving CA bc of bizbashing  high taxes More to follow
1792281591797948495,Business,A majority of Disneyland cast members who perform as characters such as Mickey and Minnie Mouse and dance in parades at the California amusement park voted to unionize with the Actors Equity Association on Saturday the union said
1872363764148048240,Business,California is not enforcing its laws Criminals are rampaging through major cities America must enforce its laws if it wants to remain a nation Business owners are having their entire lives upended due to government inaction
1870865902616633672,Business,NEWSOM FOR PRESIDENT PART  They will say that CA is death for businesses and no one wants to incorporate there anymore The truth is under Newsom new business applications have more than doubled
1632814517250916360,Business,Breaking Governor Gavin Newsom announces California will not do business with Walgreens now that the company is refusing to dispense abortion pills in  states where it is legal
871764082847830016,Business,So much for the idea that protecting the environment kills jobs CA leads in job growth pumping up the US economy
1587265730071781376,Business,Businesses in California are leaving the state at an exponential pace according to a new report from a research institute at Stanford University
1869740972759757224,Business,Workers at seven fulfillment centers located in New York City Atlanta San Francisco Southern California and Skokie Ill would join the picket line The International Brotherhood of Teamsters said
1871604251517984798,Business,A survey shows small business owners are feeling more optimistic about the economy following the election
1870559870518219157,Business,Prop  has saved California motorists over  billion since  Consumer Watchdog has saved California consumers over  billion over the last  years by challenging excessive and unfair auto home business and medical malpractice rates
1466554773411274752,Business,CAs small businesses are the backbone of our economy leading the states economic growth  creating over twothirds of jobs This holiday season support small businesses at the heart of our diverse  vibrant communities like Strapping in Sacramentos Oak Park
1702887562665152589,Business,The state of California sued several of the worlds biggest oil companies on Friday claiming their actions have caused tens of billions of dollars in damage and that they deceived the public by downplaying the risks posed by fossil fuels
1873100075393753402,Business,Its become a painful recurring story line in Hollywood A script supervisor visiting a food bank every other week The cinematographer who moved to Georgia for better filming opportunities As Hollywood struggles the LA economy feels the pain
1578541331340673024,Business,NEW VALERO responds to Californias demand for answers recent gas price spike As demanded with one business day to respond California is the most challenging market to serve in the United States for several reasons
1567120428086222853,Business,California Gov Gavin Newsom has signed a bill that increases wages for fast food workers to up to  per hour Newsom signed the Fast Food Accountability and Standards Recovery Act or AB  on Labor Day  despite facing fierce opposition from business groups
1645859242023473154,Business,California Economy Is on Edge After Tech Layoffs Studio Cutbacks High Cost of Living  billion budget deficit
1626621945083985924,Business,The nations largest egg producer saw profits rise by  last yeara record high Meanwhile California families are paying over x more for eggs
1439330480097087489,Business,Last month California added jobs at THREE TIMES the rate of the rest of the nation
1870908207998071153,Business,California Business Owners Blindsided by Surprise Payroll Taxes After Newsom Democrat Legislators Failed to Repay Federal Government Loan on Time
1873066400748544338,Business,A growing number of Californias tech millionaires and billionaires are trading the Golden State for the Silver State Heres why
1871616902662942775,Business,California is the most antibusiness state in America Current legislation makes it impossible for longstanding stores to keep their doors open
1863700419391918483,Business,of new California jobs this year are government jobs  and thats pure Marxism While they continue to destroy small business owners who have always been the backbone of the California economy
1300488325208379394,Business,California corporations would be required to diversify their boards under bill sent to Newsom
1870182396064088469,Business,After years of financial struggles Big Lots will begin goingoutbusiness sales at its remaining locations including stores in California
1873122226209165812,Business,A winning ticket for the  billion Mega Millions jackpot was sold in California Heres what we know
1432592821366652931,Business,Businesses exiting California surges in  dealing death knell to states economy California has seen  companies relocate their headquarters outside of the state
1873111699311427953,Business,The Californiabased company will make a  million capital investment in Southern Nevada over the first two years and will generate  million in new taxes over the next  years officials said
1333178340799361024,Business,Are you serious RT GavinNewsom Today is Small Business Saturday California is home to over  million small businesses This holiday season shop safe and shop local to help support our economy and the over  million workers that help keep our small businesses going
1867078147897696607,Business,California Business Owners are Taxed quaked banned some are surviving
1868632313695006895,Business,California business owners admitting to hiring illegals migrants for  an hour Journalist Brookerteejones is interviewing business owners in Hollywood theyre admitting to hiring illegals because they cant afford the  an hour wage Americans are being replaced
1857483712071610826,Business,of the  gas stations in California are run by small business owners and  of gas stations are operated by owners that own just one station
1802180912936788087,Business,Businesses in Berkeley California are shutting down like mad because of Gavin Newsom whose incompetence has burdened the Golden State with a projected  billion deficit California is also losing a net K residents yearly Expect that to get worse
1773487076975239567,Entertainment,Camila Cabello visits the SiriusXM Studios in Los Angeles California
1866196451144995137,Entertainment,Mindy Kaling reveals the Best Performance by a Female Actor in a Motion Picture  Drama nominees during the GoldenGlobes Nominations Announcement in Beverly Hills California
1712248310910824675,Entertainment,A glimpse of the marquee for the world premiere of Taylor Swift The Eras Tour concert movie being held at The Grove in Los Angeles California
1873187682995847639,Entertainment,This year we made strides in efforts to support Hollywood including a new push to extend Californias Film  Television Tax Credit Program Our city depends on the success of the entertainment industry and City Hall will ALWAYS have its back
1839391742464041249,Entertainment,They literally have food that look like Human beings on Dinner Tables The entire World is waking up to the Satanic Cult that is Hollywood  the entire entertainment industry
1838204127139991827,Entertainment,Experience Marvel Studios Thunderbolts only in theaters May
1843109235162587350,Entertainment,Meghan Markle dazzles in her iconic red Carolina Herrera gown while making a surprise solo appearance at the Childrens Hospital LA Gala
1858922091740905852,Entertainment,How often does Gladiator II star Denzel Washington think about the Roman Empire
1854584471753990520,Politics,BREAKING Californias Democratic Gov Gavin Newsom a fierce critic of former President Donald Trump on Thursday called for lawmakers to convene a special session later this year to safeguard the states progressive policies on climate change reproductive rights and immigration ahead of another Trump presidency Details
1854695991074828522,Politics,"Californias electoral votes need to be split up

The rest of our state is sick and tired of being ruled by coastal elites who think they know whats best for working class people 

A shift is occurring in California as nearly  of Californians reject the Democratic party

Politicising the cur"
1828492837106995632,Politics,"California is collapsing

If it were a country itd be the th largest economy in the world

But it lost  residents in  years  and people are still fleeing

Heres how politics  greed ruined the best place on Earth
Nigeria is just fucked for nothing"
1872094458843734388,Politics,"Californians who actually pay attention to state politics would understand that this needs to be the end result of 

 political career"
1872725478634848361,Politics,"Homelessness has jumped by  in  according to HUD

California is ranked as the  in the country"
1840455877024960687,Politics,"The CA oneparty state went from being a vibrant two partystate to a run down banana republic with similar levels of corruption poverty drugs crime homelessness despair and an ever widening gap between rich and poor 

This will  be under Ds"
1750902586251858068,Politics,me California Arizona and New Mexico for not uniting with Texas in this fight to secure the border It is disgusting to see of a government put politics above its people This isnt an immigration issue This is an absolute invasion
1872855539555942677,Politics,People in California are sick of the progressive Democrat agenda They voted overwhelmingly to repeal criminal justice reform measures which led to rampant crime Criminals are shocked Just wait  more days
1860991224502747490,Politics,"BREAKING Caitlyn Jenner is considering running as a Republican Governor for California 

How would liberals get around these identity politics"
1848132413735702587,Politics,"ELON MUSK I would prefer not to be in politics I stepped into the arena because I think the stakes are extremely fundamental I fear if Trump does not win we are going to have a singleparty state that is going to be worse than California

The one thing that keeps California from going even further is that people can move out of California and still be in America But if youve got no place to move then its going to be much worse than California and thats the danger that we face

An oppressive totalitarian state that has extreme restrictions on freedom of speech that continues extreme overregulation that makes government even bigger than it is today and takes away the liberty of the people 

Its not something I wanted to do but I thought it was critical to do it or America is not going to be America"
1818751132514001370,Politics,Kamala leaned into her Indian heritage when it was convenient in California shes now casting that aside  leaning into black identity when its convenient nationally Identity politics is a losing game for our country its our American identity that really matters in the end
1821684212644344171,Politics,"Gavin Newsom says he is upset as a taxpayer by the lack of progress on homeless in California

Anyone want to tell 

 that he has been the governor for years and could have done something about it before now"
1849968848461758510,Politics,"ELON MUSK ON WHY HE GOT INTO POLITICS

I was living in California and everyone around me was a Democrat and I really just wanted to build technology cars rockets space internet and do useful things I didnt want to be involved in politics I dont want to be the President I want to build products people love 

I came to a conclusion that we are at a fork in the road of Western Civilization and destiny of humanity because the constitution is being eroded away with consistent attacks and the oppressive nature of the Federal government getting worse every year open borders etc 

I was hearing one story after another of friends of mine that were being assaulted and robbed

I think our republic is at risk 

America is at stake"
1863957908272156887,Politics,"California Rep Ro Khanna on Gavin Newsoms EV subsidy that would exclude 

 vehicles 

Tesla created the electric vehicle revolution  I dont think politics should interfere with manufacturing or an issue of our national competitiveness"
1871646468144243091,Politics,"California owes the federal government  billion in unpaid loans taken during the pandemic the largest debt of its kind among US states

Read More"
1141743089582628864,Politics,Democrats run California No Republican holds a state wide office Democrats have super majorities in the Senate and in the Assembly
1857991912143073728,Politics,"BREAKING Californias th Congressional seat is now set to flip from Republican to Democrat after thousands of new ballots pour in

 days after an Election"
1734691874894733678,Politics,Im done with the extremism and division in California politics so today Ive officially filed to run for California Assembly District  For years Ive been dedicated to representing parents and families and advocating in protecting parental rights informed consent  children Its time for course correction  To donate to my campaign
1864101427091484868,Politics,FIRST SQUATTER A California businessman says the presidents son tried to pay rent with his own artwork and still owes him more than  Is that pardoned now
1714140780506538310,Politics,We were both active gang members in Stockton California My husband was locked up for years with gang enhancement charges At  I started banging getting expelled in middle school for guns and drug possession Never did we think we would be in the world of politics but we found ourselves here in  fighting the pharmaceutical cartel and Gavin Newsom We now spend our time talking with our community and engaging in politics at all levels This year has been the most extreme year in legislation we have ever experienced Lowering the age of consent and removing parental rights right before our eyes Now we are done The demographic they hoped would stay asleep is now pissed They went to far
1776706173305070009,Politics,Press that  button if you hope the voters in California send Steve Garvey to the Senate and tell Adam Schiff to get out of politics
1835463692282159131,Politics,I have always said I am running for the soul of California and this country Garvey said Were targeting the independent vote the disenfranchised democrat the undecided the Latino community is so important to us
1659946593624403970,Politics,One party has controlled state government for the past  years A similar dynamic holds in SF and LA
1873499946453782704,Politics,California politicians react to President Jimmy Carters death A man of rare character
1860329461347996157,Politics,"A California school official compared a Save Girls Sports shirt to wearing a swastika

Outrageous and dangerous rhetoric Im glad theyre suing and I hope the girls win big

Thank GOD theres a new sheriff in town"
1854591095834808360,Politics,California Gov Newsom calls legislature into emergency session to Trumpproof states lefty policies
1845131546501734440,Politics,"California regulators have blocked 

 launches because they disagree with 

s politics This is a blatant violation of the First Amendment and a gross abuse of power even in increasingly totalitarian California"
1442838324121640961,Politics,California has a  Democrat majority and a  republican minority Newsom won by a  margin in the NoYes recall Thats beyond suspicious
1872697200242798734,Politics,Homelessness rises across   despite Governor Newsom spending billions of dollars on hotel and motel rooms to house the  Gov Newsoms pledge to build  million new homes misses by  despite all the rhetoric to help
1863823161005109532,Politics,RNC Stood By and Let Marc Elias Steal Seats in California in Broad Daylight
1871239213661696285,Politics,Its a felony Shoplifting suspects discuss new California law in back of patrol car
1872680385328628086,Politics,Also from California I was told dont California my Texas Usually from someone generational There are countless Californians and other transplants in Texas politics Were real Conservatives Without us thriving in the grassroots movement Texas wouldnt stand a chance
1871936469461520705,Politics,"Dear Citizens of California 

If you leave California because your leaders seem intent on making your lives worse in every way I understand  

Just please what ever you bring leave all California liberal policies and politics behind All of it"
1861875654922207709,Politics,"CALIFORNIA GOP FLIPS STATE SENATE SEAT FOR FIRST TIME SINCE DEM POLICIES FINALLY BACKFIRE

Republican Steven Choi just broke the Democrats stranglehold in California flipping a State Senate seat in Orange County for the first time since 

Shocking Not really After decades of high taxes rampant crime and policies driving people out of the state are we surprised voters said Enough

Democrat Josh Newman conceded marking what could be a red ripple in the bluest of blue states
The Dems cant say they didnt see this one coming

Source Police Frequency"
1871025423511134713,Politics,"USA better recognize that Hawaii is independent and separate from the US with no desire to mix politics

While were at it California Calexit Texas Texit and Alaska should also get their independence from the US"
1871349449974591879,Politics,California might be one of the most beautiful states its incomparable but the people policies and politics make it damn near unlivable for me
1856099599158550789,Politics,With counties turning red and liberal politicians getting ousted during the last election the question on many peoples minds is Is progressive politics dead in California
1870576832677806541,Politics,"Merry Christmas from the 



They recently approved two waivers for California to ban the internal combustion engine by  

Read more here"
1872696838450483635,Politics,Yup The Southeast is far better California has better weather but crazy politics and cost of living  These same people who talk about Americans being uncompetitive run their companies partially out of some of the most expensive housing markets in the world  Economic masterminds
1816511325402800179,Politics,California is a blue state Newsom is a democrat No parliamentary politics is not the path out of fascism Democrats are not the alternative to fascism
1869277714252972513,Politics,"Its a waste of time because its never gonna happen

You would need a super majority in both chambers of Congress and you would need  of the states to ratify it

You will never get the smaller states to vote away theie sovereignty to New York and California"
1845290193697263840,Politics,Donald Trump just threatened to withhold federal aid from California for forest fires if elected Trump will put politics over the needs of the American people Its disgusting He should be nowhere near power
1845191831891607761,Politics,"Wow California has rejected the air forces plan to give spacex permission to launch  times a year

 because of 

s tweets

Disagreeing on politics is one thing but its no reason to tear down SpaceX or Tesla"
1873007337327280177,Politics,California Gov Gavin Newsom signs new law protecting LGBTQ students from being outed
1871277377709547833,Politics,"Leave New York before its too late

Leave California before its too late

And leave your former politics at the border when you do"
1765343063541514417,Politics,"California is a Republican rightleaning state with Latino cities that swing everything all the way left

If the s and the abysmal failure that was Reagan hadnt happened to Cali it would still be a generally red state"
1871711207029146009,Politics,California Democrats are at it again begging the feds for over  million to keep their highspeed rail boondoggle alive  Because who needs fiscal responsibility when you can chase pipe dreams Lets fund a train that wont even make it to the
1765258055426666857,Politics,Even the farleft San Francisco supervisors are saying this
1870536307300266148,Politics,Im confused Where are you getting your numbersCalifornia just FINALLY finished tallying its votes and Harris got the electoral votes
1765349408605192510,Politics,"Trump winning the Republican primaryeveryone in California voting republican

Republican politicians have won every Republican primary in California since the founding of the GOP because its a REPUBLICAN PRIMARY"
1765257479372575175,Politics,Trump is gonna win California by a landslide Thats probably tons of electoral votes to secure the presidency
1765256487960490240,Politics,California will move  points to the right from  presidential
1765256010376110467,Politics,"The Golden State is MAGA Red tonight Trump is winning an absolute landslide in every single county in California 

Trump getting  of the vote statewide  in San Diego  in LA rural counties near  

I saw it coming a year ago No one else ever even had a chance California Republicans LOVE Trump"
1707772319001608333,Politics,"Senator Dianne Feinstein was a trailblazer for women in politics 

As the first woman to serve in the US Senate from California she was a fierce advocate for gun safety and equal rights 

Our hearts go out to her family friends colleagues and constituents"
1454614222705463303,Politics,Dr Mark Ghaly joins Elex to discuss the Pfizer vaccine for children Ahead of a month sabbatical Politicos Carla Marinucci looks back at her year career covering California politics
1871620991790862731,Politics,"Is it true that the US is involved in Pakistans politics as claimed by government member Hanif Abbasi
As per Abbasi  Imran Khan was bring into power through a  plan by the CIA"
1871725041005773169,Politics,"Obstruction of Justice Aiding and abetting 

 When will you learn you are not outside of the law 


People complain about immigrants coming to their countries but then also complain ab"
1871635577948496186,Politics,"Will you sing along that this is All I Want For Christmas 
 STORY 
BACKGROUND California Globe"
1872476370959466698,Politics,Adding Canada as a single state would basically be adding a new California to existing American politics It would be better to have Canada admitted as at least  or  separate states
1132700284688273408,Politics,Thanks  In California no republican holds a statewide office and democrats have SUPERMAJORITIES in the state Senate and Assembly Registered democrats outnumber republicans nearly  to  What could possibly go wrong
1422094858487992321,Politics,California could witness a stunning turnabout in a nation of deeply polarized politics if the liberal state dumps Democratic Gov Gavin Newsom and elects a Republican to fill his job in a September recall election
1633256276858933249,Politics,California will cease all its business with Walgreens Gov Gavin Newsom said after the company announced it would not dispense abortion medication in  Republicandominated states
1805676745888075882,Politics,"In the real world the Democrat party holds a supermajority of  seats while Republicans have only  seats in the California State legislature
Newsoms failures are  on Newsom and his antiAmerican anticonsumer antibusiness policies
The only thing conservatives had the power to do was leave the state
They did that in droves out of self preservation"
1848382074052346096,Fashion,East meets West in Hala Alghabawis latest collection The perfect blend of asymmetrical cuts and innovative textures
1847711340988657994,Fashion,Speechless A moment please for Abadias latest collection Luxury can be ethical
1873342878963130386,Fashion,Cozying up for the winter has never looked chicer courtesy of luxurious loungewear sets from The Row WardrobeNYC terne and more
1847068403489505577,Fashion,Lights camera couture The runway at RiyadhFashionWeek is igniting with breathtaking collections that embody both innovation and elegance Dont blinkyou wont want to miss a single moment of this spectacle
1872992318414078241,Fashion,What are the Vogue beauty teams best beauty products of  American  British Vogue beauty editors share their top skin hair fragrance  wellness picks
1825616716988297697,Fashion,these are all incredible thank you for sharing your beautiful work always your artistry and mind is unmatched
1198005389175996416,Fashion,A little flashbackfriday to the  Thanksgiving Parade Umm is it time for turkey yet fashion
1846059924486328535,Fashion,From the shooting lanes to fashion ramp walk its just a break for me I loved it Normal is boring
1873337334567227473,Fashion,Layered in earthy tones and mysterious vibes Fashion
873212494143037441,Fashion,Americana From Playboy to cartoons cowboys  cowhide moschino brought American pop culture to its Resort runway MADELA fashionweek
1871492888766681515,Fashion,Bloody love this one even if you dont Fairylight vibes just shine from this shimmering extra and frockingfabulous Patrick Kelly gown of  Id just wear it everywhere Via Whitaker Auctions fashion history
1872326578333688312,Fashion,In March  Marilyn Monroe wore a simple white terrycloth robe during an impromptu photoshoot with Milton H Greene creating one of her most iconic photo series
1873084461300236348,Fashion,Fashion just got an upgrade Sprayground Bags at ftNFT are your ticket to turning every outfit into a masterpiece Shop now and make it yours
1873439860331274509,Fashion,Style is more than what we wear its a reflection of our spirit Inspired by Proverbs  this image celebrates strength honor and timeless beauty A virtuous womans adornment is rooted in dignity and faith shining through her presence and choices
